Date,btc_coinbase,btc_kraken,btc_bitstamp,btc_itbit,btc_bitfinex,btc_hitbtc,btc_gemini,btc_bittrex,usdyuan,usdeur,gold,oil,sp500
5/18/2016,455.56,454.2201,454.2201,454.0001,453.51,457.19,454.27,462,6.5386,0.8864,1258.55,48.19,2047.63
5/19/2016,438.38,440.3771,443.18,443.4501,435,444.08,440.01,455,6.5495,0.8922,1254.7,48.16,2040.04
5/20/2016,445.65,433.5001,440.9101,441.8901,441.57,440.66,442.99,430,6.549,0.891,1252.15,47.75,2052.32
5/21/2016,446.28,438.5401,443.4101,443.0001,440.81,441.59,443.21,424.5,6.549,0.891,1252.15,47.75,2052.32
5/22/2016,442.48,438.34,439.62,438.61,437.48,436.36,437.57,423.3,6.549,0.891,1252.15,47.75,2052.32
5/23/2016,445.67,441.861,442.3,442.7901,443.66,443.97,443.99,423.3,6.5557,0.8926,1249.12,48.08,2048.04
5/24/2016,446.99,444.0001,443.58,445.1401,445.03,446.72,445.73,421,6.5571,0.8968,1227.26,48.62,2076.06
5/25/2016,451.49,448.3231,448.37,448.6301,449.06,446.88,449.98,458,6.558,0.8961,1224.47,49.56,2090.54
5/26/2016,454.97,452.0001,452.0701,452.8501,453.95,452.54,454.29,455,6.5585,0.8948,1219.8,49.48,2090.1
5/27/2016,471.27,468.007,470.0001,472.3901,472.03,470.85,476.99,471,6.5655,0.8997,1212.95,49.33,2099.06
5/28/2016,523.25,519.696,509.9001,513.5901,527.01,520,526.6,471,6.5655,0.8997,1212.95,49.33,2099.06
5/29/2016,525.22,534.9521,526.67,527.5201,531,510.7,516.63,520.1,6.5655,0.8997,1212.95,49.33,2099.06
5/30/2016,532.55,531.36,527.54,530.0601,532.89,529.28,530.61,536.6,6.5833,0.8981,1205.57,49.33,2099.06
5/31/2016,531.34,522.207,524.3801,522.0501,530.69,534.76,530.94,539,6.5854,0.8978,1215.33,49.1,2096.96
6/1/2016,534.84,533.3001,534.9001,535.4001,536.79,538.94,538.8,538.9,6.58,0.895,1212.98,49.01,2099.33
6/2/2016,537.87,535.6901,535.0601,537.4001,538.8,539.99,539.9,500.8,6.5845,0.8964,1210.95,49.17,2105.26
6/3/2016,571.25,574.9001,576.8201,575.5501,570.87,571.84,571.12,588.1,6.5492,0.8798,1244.2,48.62,2099.13
6/4/2016,576.31,575.6551,572.5901,575.4601,572.67,568.86,573.51,515,6.5492,0.8798,1244.2,48.62,2099.13
6/5/2016,575.17,575.7941,574.4301,574.48,574,572.8,574.05,603.9,6.5492,0.8798,1244.2,48.62,2099.13
6/6/2016,586.77,582.0001,581.1401,581.5201,585.22,586.74,585.95,599,6.5637,0.8791,1245.3,49.69,2109.41
6/7/2016,579.71,575.5411,577.3001,577.79,576.88,580.15,580,598,6.5715,0.8812,1243.9,50.36,2112.13
6/8/2016,583.21,581.7781,579.5501,579.9301,583.05,581.56,581.99,596,6.5624,0.8772,1262.78,51.23,2119.12
6/9/2016,577.46,575.0211,574.0201,576.85,575.52,572.68,579.05,596,6.5624,0.8834,1269.74,50.56,2115.48
6/10/2016,580.31,581.0001,577.7801,578.9601,580.08,578.54,579.99,550.1,6.5624,0.8888,1273.92,49.07,2096.07
6/11/2016,609.5,585.6,583.9501,585.29,614.52,599.99,614.22,597.9,6.5624,0.8888,1273.92,49.07,2096.07
6/12/2016,677.86,663.6841,665.0601,664.8801,671,671.91,670.61,645,6.5624,0.8888,1273.92,49.07,2096.07
6/13/2016,706.01,683.5821,689.1201,691.2601,705.88,706.62,704.01,690.1,6.5857,0.8862,1283.86,48.88,2079.06
6/14/2016,684.95,692.6401,688.8901,690.5001,684.51,681.37,684.9,671.1,6.597,0.8917,1285.76,48.49,2075.32
6/15/2016,698.78,694.3201,693.0501,693.3401,696.88,691.42,695.19,675.1,6.5818,0.8899,1291.75,48.01,2071.5
6/16/2016,769.76,764.4761,761.1001,763.2401,769.45,768.59,764.22,770.2,6.5915,0.892,1278.46,46.21,2077.99
6/17/2016,752.26,755.2311,750.9901,752.9401,748.66,743.55,755.47,755,6.587,0.8868,1299,47.98,2071.22
6/18/2016,758.99,753.1101,749.8801,750.8001,757.6,755.72,760.69,735,6.587,0.8868,1299,47.98,2071.22
6/19/2016,768.76,764.0101,759.4801,760.0001,767.3,757.02,763.99,745,6.587,0.8868,1299,47.98,2071.22
6/20/2016,703.12,740.6101,738.0001,741.0001,743.9,729.73,735,725,6.582,0.8838,1290.06,49.37,2083.25
6/21/2016,667.66,655.3431,650.6801,651.0801,668.88,669.97,666.58,640.8,6.591,0.8883,1268.11,48.85,2088.9
6/22/2016,604.5,615.0001,610.2601,613.5801,606.02,599.03,609.09,611,6.5784,0.8847,1266.32,49.13,2085.45
6/23/2016,591.94,620.1101,613.8101,612.8701,625.8,594.77,625.13,620.6,6.5807,0.8809,1256.84,50.11,2113.32
6/24/2016,669.98,660.0001,652.1301,657.8701,666.05,664.6,665,658.9,6.6218,0.9005,1315.45,47.64,2037.41
6/25/2016,673.71,659.0501,653.0201,656.0101,664.87,663.53,665.15,630,6.6218,0.9005,1315.45,47.64,2037.41
6/26/2016,638.56,637.2471,629.97,634.0801,627.42,629.04,631.32,623,6.6218,0.9005,1315.45,47.64,2037.41
6/27/2016,657.87,642.9551,642.1901,643.0701,662.2,660.99,650.1,625,6.6474,0.9056,1324.55,46.33,2000.54
6/28/2016,648.43,650.3531,647.0001,647.7701,646.3,642.04,648.68,660,6.6481,0.9048,1311.8,47.85,2036.09
6/29/2016,639.42,643.0501,634.9501,639.5401,639.68,632.59,641.99,637.6,6.6368,0.9011,1319.02,49.88,2070.77
6/30/2016,673.49,665.8421,660.6201,664.8101,674.74,670.67,674.69,635.5,6.648,0.903,1322.2,48.33,2098.86
7/1/2016,678.19,675.0001,675.5501,677.7101,674.75,672.1,678.59,650.7,6.6599,0.8979,1341.85,48.99,2102.95
7/2/2016,704.95,697.9901,695.2201,696.9901,705.04,699.3,699.99,696,6.6599,0.8979,1341.85,48.99,2102.95
7/3/2016,663.55,659.5801,657.6401,660.5801,659.29,654.21,658.68,660,6.6599,0.8979,1341.85,48.99,2102.95
7/4/2016,681.98,674.8981,674.7601,676.2801,681.34,678.39,679.89,666,6.6653,0.897,1351.06,48.99,2102.95
7/5/2016,669.87,670.9901,668.6501,670.2901,667.76,671.19,666.68,650,6.686,0.9016,1356.29,46.6,2088.55
7/6/2016,678.79,675.2701,675.2601,674.7301,677.04,677.28,674.99,650,6.6886,0.9018,1363.76,47.43,2099.73
7/7/2016,641.97,618.1301,619.1,620.9001,640.51,640.87,637.99,630,6.682,0.9038,1360.41,45.14,2097.9
7/8/2016,667.33,660.6301,658.6101,660.6801,664.8,666.44,661.99,659.9,6.6908,0.905,1366.38,45.41,2129.9
7/9/2016,657.61,638.0801,640.0101,641.4801,648.11,651.07,653.19,630,6.6908,0.905,1366.38,45.41,2129.9
7/10/2016,652.44,651.9001,647.7601,649.1101,649.72,652.74,649.99,665.7,6.6908,0.905,1366.38,45.41,2129.9
7/11/2016,650.97,648.8811,648.0001,651.2801,647.95,645.88,650.82,665.7,6.696,0.9047,1355.35,44.76,2137.16
7/12/2016,666.56,669.5101,666.6401,667.9401,667.19,667.9,668.96,666,6.6885,0.9017,1333.07,46.8,2152.14
7/13/2016,655.34,661.5001,662.3101,663.0001,653.7,657.83,653.2,670,6.6887,0.9003,1342.7,44.75,2152.43
7/14/2016,661.65,661.0201,660.5701,660.4301,659.78,662.75,658.98,670,6.6835,0.8998,1335.16,45.68,2163.75
7/15/2016,667.48,667.8461,667.7401,666.9901,665.5,667.53,665.29,633,6.6935,0.9062,1337.5,45.95,2161.74
7/16/2016,666.32,663.9901,661.7701,663.0401,665.33,658.84,663.93,666,6.6935,0.9062,1337.5,45.95,2161.74
7/17/2016,680,682.0001,680.6801,672.3301,683.2,681.04,680.41,688,6.6935,0.9062,1337.5,45.95,2161.74
7/18/2016,675.5,674.4601,672.5201,673.1901,674.3,675.71,673.48,684,6.7045,0.9033,1328.85,45.24,2166.89
7/19/2016,673.98,669.0201,671.4301,671.5501,675,676.26,672.99,667.4,6.6963,0.908,1332.03,44.65,2163.78
7/20/2016,666.92,664.5101,666.3701,665.4201,665.85,670.56,664.54,683,6.6778,0.9085,1316,44.94,2173.02
7/21/2016,667.28,665.0001,664.1801,665.8001,665.01,665.98,665.99,654,6.6755,0.9084,1331.21,44.75,2165.17
7/22/2016,654.67,658.0401,656.0001,658.1101,648.04,657.49,650.31,647.3,6.6795,0.911,1322.45,44.19,2175.03
7/23/2016,657.5,655.2001,653.8701,655.0101,654.03,655.49,656.26,646.3,6.6795,0.911,1322.45,44.19,2175.03
7/24/2016,661,663.3211,661.1701,661.2301,661.82,663.69,663.97,679,6.6795,0.911,1322.45,44.19,2175.03
7/25/2016,657.79,654.9901,655.0101,656.3001,654.17,655.09,656.26,637,6.6799,0.9101,1315.65,43.13,2168.48
7/26/2016,654.06,657.9991,655.8001,655.9201,648.47,646.2,651.76,660,6.672,0.9101,1320.29,42.92,2169.18
7/27/2016,657.35,660.0001,656.6501,657.3701,654.51,656.91,657.62,640,6.67,0.9097,1339.95,41.92,2166.58
7/28/2016,657.4,656.0001,653.3401,655.6901,658.34,657.35,657.37,641.2,6.6576,0.903,1335.77,41.14,2170.06
7/29/2016,657,657.5701,656.9001,657.8801,658.34,654.01,657.99,643,6.635,0.8949,1351,41.6,2173.6
7/30/2016,655.87,653.7901,653.1801,654.3601,654.99,656.99,655.01,643,6.635,0.8949,1351,41.6,2173.6
7/31/2016,626.97,631.0001,631.8501,635.0201,623.67,626.21,623.51,623.3,6.635,0.8949,1351,41.6,2173.6
8/1/2016,605.2,615.4901,616.2501,617.7801,607.99,607.52,606.57,610,6.6439,0.8952,1353.15,40.06,2170.84
8/2/2016,537.47,565.16,565.9901,565.79,604,535.83,532.28,505,6.6272,0.8912,1363.63,39.51,2157.03
8/3/2016,573.36,565.8401,567.72,568.4601,604.1,561.7,574,563.1,6.6342,0.8948,1358.2,40.83,2163.79
8/4/2016,587.5,573.5711,569.72,573.6201,604.1,574.78,585,595.8,6.6418,0.8978,1361.15,41.93,2164.25
8/5/2016,583,578.0101,574.9301,574.8801,604.1,572.31,575.4,569,6.6603,0.902,1335.55,41.8,2182.87
8/6/2016,591.71,585.1951,582.8901,584.5701,604.1,591.32,588.99,585,6.6603,0.902,1335.55,41.8,2182.87
8/7/2016,595.14,593.7441,587.6501,591.1401,604.1,590.54,594.4,617.6,6.6603,0.902,1335.55,41.8,2182.87
8/8/2016,591.48,594.8261,592.1701,592.7801,604.1,593.08,595.08,617.6,6.6614,0.9027,1335.33,43.02,2180.89
8/9/2016,586.45,585.5001,584.8001,586.2501,604.1,586.83,586.65,600,6.6557,0.9007,1340.73,42.77,2181.74
8/10/2016,594.94,593.7971,593.29,595.8001,590.28,590.78,595.26,594,6.636,0.8954,1346.55,41.71,2175.49
8/11/2016,587.91,590.0001,589.6,590.1201,591.27,585.01,588,594.5,6.6337,0.8962,1338.7,43.49,2185.79
8/12/2016,587.74,587.5001,584.6201,586.72,585.5,583.83,588.83,594.5,6.6362,0.8959,1335.85,44.49,2184.05
8/13/2016,586.45,585.3701,583.3701,585.3201,583.73,585.93,586.98,594,6.6362,0.8959,1335.85,44.49,2184.05
8/14/2016,574.99,569.0801,566.6,570.8401,569.44,570.28,571.7,564,6.6362,0.8959,1335.85,44.49,2184.05
8/15/2016,567.79,568.79,566.6701,568.91,564.64,568.59,568.18,559,6.638,0.8943,1339.45,45.74,2190.15
8/16/2016,579.02,582.4001,577.9201,579.22,574.24,572.64,577.71,585.1,6.6253,0.8875,1346.01,46.58,2178.15
8/17/2016,574.45,572.0701,571.4901,573.8101,571.83,572.44,574.83,585.1,6.6343,0.8872,1348.76,46.79,2182.22
8/18/2016,574.09,573.8201,571.4001,574.0901,572.21,568.04,574.08,610,6.6312,0.8827,1352.23,48.22,2187.02
8/19/2016,573.67,573.0101,572.8601,575.2601,573.5,573.77,573.7,570.5,6.6532,0.883,1341.26,48.52,2183.87
8/20/2016,581.87,582.9001,577.5101,579.9901,582.01,581.87,580.21,571,6.6532,0.883,1341.26,48.52,2183.87
8/21/2016,581.29,583.0001,577.7701,581.2101,581.42,581.22,579.85,570.5,6.6532,0.883,1341.26,48.52,2183.87
8/22/2016,585.2,587.0001,585.0001,586.4801,588.01,585.11,586.95,609,6.6507,0.8834,1339.09,47.05,2182.64
8/23/2016,582.39,582.8101,580.7601,581.66,583.54,584.28,581.99,572,6.6409,0.8836,1337.56,48.1,2186.9
8/24/2016,578.47,580.0501,578.6401,579.3101,580.32,580.49,579.24,570.5,6.659,0.8874,1324.15,46.77,2175.44
8/25/2016,575.58,575.3691,575.5001,575.5001,577.2,573.89,575.97,570.5,6.6595,0.8867,1321.94,47.33,2172.47
8/26/2016,579.29,578.2661,577.3201,578.1101,578.01,579.89,578.17,586,6.6695,0.8931,1321.22,47.64,2169.04
8/27/2016,570.84,570.324,567.6401,569.35,568.55,569.38,569.82,567.9,6.6695,0.8931,1321.22,47.64,2169.04
8/28/2016,575.41,574.7601,570.2401,571.5001,574.17,575.28,572.99,568,6.6695,0.8931,1321.22,47.64,2169.04
8/29/2016,573.21,575.5001,573.6401,573.5201,574.78,573.75,573.35,568,6.683,0.8948,1323.5,46.98,2180.38
8/30/2016,574.95,577.8091,575.3801,576.3001,579.49,575.01,577.25,608.9,6.6807,0.8967,1311.11,46.35,2176.12
8/31/2016,572.89,574.5101,572.2401,573.5101,576.15,572.41,577.35,608.9,6.6793,0.8962,1308.97,44.7,2170.95
9/1/2016,573.02,572.04,569.5001,572.29,572.73,573.59,571.74,588.4,6.675,0.893,1313.92,43.16,2170.86
9/2/2016,576.21,575.8401,571.9901,573.4201,579.85,569.79,575.99,588.4,6.6805,0.8964,1325.07,44.44,2179.98
9/3/2016,600.91,600.0001,591.41,588.5501,609.89,592.77,600,605,6.6805,0.8964,1325.07,44.44,2179.98
9/4/2016,611.92,609.9001,601.8201,604.7101,614.52,608.52,607.67,618,6.6805,0.8964,1325.07,44.44,2179.98
9/5/2016,605.69,607.3991,602.1301,606.2301,611.5,604.99,606.3,600,6.6771,0.8967,1327.45,44.44,2179.98
9/6/2016,612.99,611.4041,607.6501,611.1201,615.23,606.51,613.48,612,6.67,0.8896,1350.01,44.83,2186.48
9/7/2016,615.21,613.5001,614.6801,615.2101,619.75,612,616.06,612,6.6625,0.8902,1345.22,45.5,2186.16
9/8/2016,627.97,628.3601,624.2001,623.6701,631.73,624.06,625.69,631,6.668,0.8893,1338.2,47.62,2181.3
9/9/2016,622.07,622.7301,621.6101,621.41,626.25,619.52,621.9,631.2,6.685,0.8903,1327.93,45.88,2127.81
9/10/2016,623.74,627.72,623.2501,624.2501,628,624.45,622.99,635,6.685,0.8903,1327.93,45.88,2127.81
9/11/2016,607.94,605.595,599.3701,601.8401,612.08,604.01,605.76,606.1,6.685,0.8903,1327.93,45.88,2127.81
9/12/2016,606.74,609.0171,606.41,606.4301,611.62,609.83,607.98,600.4,6.6802,0.89,1327.82,46.29,2159.04
9/13/2016,608.63,614.1201,608.0401,608.8601,614.23,610.88,607.59,622,6.6795,0.8901,1319.01,44.9,2127.02
9/14/2016,608.43,613.8011,609.6901,609.9901,613.88,610.52,609.39,635,6.6747,0.8886,1322.94,43.58,2125.77
9/15/2016,605.44,614.0001,605.0701,607.0801,611.81,607.52,606.09,625,6.6747,0.8895,1314.74,43.91,2147.26
9/16/2016,607.93,608.0101,606.1,607.2001,610.01,608.57,607.94,625,6.6747,0.8963,1310.25,43.03,2139.16
9/17/2016,607.92,609.0001,604.4001,606.0001,607.69,604.87,606.38,622,6.6747,0.8963,1310.25,43.03,2139.16
9/18/2016,611.4,612.7691,608.2501,608.5501,613.03,607.38,608.99,622,6.6747,0.8963,1310.25,43.03,2139.16
9/19/2016,608.6,610.0501,607.5501,609.0501,609.79,606.85,608.99,606,6.6685,0.8948,1313.13,43.3,2139.12
9/20/2016,605.6,609.0001,606.97,608.1,600.05,605.41,598.51,633,6.672,0.8957,1314.86,43.44,2139.76
9/21/2016,597,596.5001,594.4801,595.6,597.43,596.01,595.61,599,6.6688,0.8961,1333.63,45.34,2163.12
9/22/2016,596.21,596.5641,595.7001,596.1201,597.08,597.51,594.85,599,6.6648,0.8909,1337.07,46.32,2177.18
9/23/2016,602.96,602.0001,601.6501,601.5101,603.29,599.81,601.33,599,6.6694,0.8908,1337.65,44.48,2164.69
9/24/2016,603.68,604.3811,599.9201,601.2001,602.55,602.81,601.32,601,6.6694,0.8908,1337.65,44.48,2164.69
9/25/2016,601.67,598.5921,597.1,600.0301,600.36,599.56,599.99,600,6.6694,0.8908,1337.65,44.48,2164.69
9/26/2016,607.08,607.988,604.5501,606.2101,609.14,608.19,607.1,620,6.6689,0.8887,1337.95,45.93,2146.1
9/27/2016,605.71,603.8811,602.7501,602.1301,605.53,606.11,604.9,620,6.6701,0.8913,1327.31,44.67,2159.93
9/28/2016,605.04,604.2601,603.9901,604.5301,603.76,607.58,604.24,628,6.6751,0.8921,1321.52,47.05,2171.37
9/29/2016,605.99,605.66,605.5201,606.5101,604.6,606.06,604.87,627,6.6672,0.8911,1320.36,47.83,2151.13
9/30/2016,608.99,607.4991,604.7501,606.2001,611.1,610.98,608.98,610,6.6718,0.8901,1315.75,48.24,2168.27
10/1/2016,615.65,615.2971,613.9801,614.4801,614.09,610.98,614.04,623.7,6.6718,0.8901,1315.75,48.24,2168.27
10/2/2016,612.4,611.7661,607.8901,610.5001,609.09,605.99,610.4,613.7,6.6718,0.8901,1315.75,48.24,2168.27
10/3/2016,612.99,612.9951,610.0001,612.6901,612.57,607.54,612.96,593,6.6718,0.8914,1312.81,48.81,2161.2
10/4/2016,610.34,609.0021,607.1701,609.0001,610.98,607.52,609.93,617,6.6718,0.8935,1268.53,48.69,2150.49
10/5/2016,613.16,615.0001,610.4501,612.8701,614.09,610.99,612.34,617,6.6718,0.8924,1266.8,49.83,2159.73
10/6/2016,611.88,613.6401,609.9301,612.6801,613.51,606.09,611.8,595.2,6.6718,0.896,1254.41,50.44,2160.77
10/7/2016,617.98,618.3101,613.9801,617.4001,620.13,614.77,617.65,596.2,6.6718,0.8929,1256.93,49.81,2153.74
10/8/2016,619.5,620.1,613.85,618.0501,620.5,611.11,617.99,597.2,6.6718,0.8929,1256.93,49.81,2153.74
10/9/2016,617.42,617.4591,612.91,615.8701,616.56,611.14,615.99,613.5,6.6718,0.8929,1256.93,49.81,2153.74
10/10/2016,618.72,618.3001,614.7301,617.3701,618.87,616.47,617.69,622.3,6.7074,0.8973,1259.63,51.35,2163.66
10/11/2016,642.12,638.4461,636.8701,637.3301,641.74,635.42,639.99,639.4,6.722,0.9035,1252.73,50.79,2136.73
10/12/2016,635.79,637.0001,635.1901,636.1501,637.63,631.07,635.54,647,6.7195,0.9066,1255.3,50.18,2139.18
10/13/2016,635.66,634.7391,635.4501,635.8601,637.01,631.56,635.44,620,6.7274,0.9057,1258.13,50.44,2132.55
10/14/2016,638.03,640.2181,637.6901,639.2801,643,635.37,636.93,646,6.7283,0.9113,1251.43,50.35,2132.98
10/15/2016,638.16,640.1301,636.0401,641.1301,640.2,635.37,635.17,646,6.7283,0.9113,1251.43,50.35,2132.98
10/16/2016,641.92,641.4201,638.9501,641.2501,644.17,635.37,639.58,646,6.7283,0.9113,1251.43,50.35,2132.98
10/17/2016,639.56,639.5001,636.7301,636.7501,639.79,637.11,637.98,640,6.7375,0.9091,1255.81,49.94,2126.5
10/18/2016,635.11,636.3851,633.0001,634.7301,638.8,634.99,634.99,636,6.7409,0.9099,1262.45,50.29,2139.6
10/19/2016,629.79,631.4991,627.1801,628.8001,631.77,628.1,628.97,642,6.7378,0.9117,1269.23,51.6,2144.29
10/20/2016,628.05,630.3101,628.3201,630.2601,632.46,625.44,629,635,6.7449,0.9137,1265.77,50.43,2141.34
10/21/2016,630.83,633.7951,630.1801,630.9501,636.73,629.12,630.8,633,6.767,0.9187,1266.28,50.85,2141.16
10/22/2016,652.75,660.0021,651.0901,649.9901,664.99,650.39,655.75,665.4,6.767,0.9187,1266.28,50.85,2141.16
10/23/2016,651.04,657.1121,648.3401,646.4401,659.03,648.24,650.51,662.8,6.767,0.9187,1266.28,50.85,2141.16
10/24/2016,649.98,652.8381,649.2401,649.1201,654.65,649.19,648.75,661.8,6.7752,0.9193,1264.52,50.52,2151.33
10/25/2016,654.3,658.9991,653.4901,653.47,659.52,649.01,650.32,663,6.7804,0.9182,1273.73,49.96,2143.16
10/26/2016,674,672.0001,670.5501,669.4801,678.7,672.06,671,654.8,6.7711,0.9166,1267,49.18,2139.43
10/27/2016,691.21,680.3441,679.5301,679.0801,688.67,685.77,680,685,6.7835,0.9181,1268.4,49.72,2133.04
10/28/2016,689.95,689.9991,685.0101,688.6901,693.47,685.97,688.99,680,6.7789,0.9102,1275.5,48.7,2126.41
10/29/2016,714.28,720.3271,711.0001,717.6401,714.51,713.15,714.95,722.9,6.7789,0.9102,1275.5,48.7,2126.41
10/30/2016,697.41,699.3291,699.9501,695.0001,702.55,697.87,698.24,695,6.7789,0.9102,1275.5,48.7,2126.41
10/31/2016,696.9,705.8501,701.8201,703.9201,704.09,697.78,697.95,700,6.7758,0.912,1277.3,46.86,2126.15
11/1/2016,730.7,732.9981,725.8701,729.4401,732.915,726.55,729.91,739,6.7657,0.9045,1288.02,46.67,2111.72
11/2/2016,744.6,732.0001,729.8001,729.5801,737.485,734.33,735.99,727,6.757,0.9011,1296.93,45.34,2097.94
11/3/2016,690,695.7481,689.9901,695.9401,680.185,685.26,686.91,679,6.765,0.8999,1302.7,44.66,2088.66
11/4/2016,706.32,698.0001,697.0301,698.3601,709.005,698.41,706.93,679,6.7564,0.8976,1304.6,44.07,2085.18
11/5/2016,706.99,708.6081,702.3801,705.8001,708.105,707.73,706.33,715.2,6.7564,0.8976,1304.6,44.07,2085.18
11/6/2016,717.02,712.0961,706.9801,709.8901,715.46,710.17,711.15,710,6.7564,0.8976,1304.6,44.07,2085.18
11/7/2016,706.42,708.8151,706.9901,707.6001,715.46,708.77,708.31,705,6.7766,0.9056,1281.65,44.89,2131.52
11/8/2016,711.15,713.9991,709.6401,710.0001,705.32,709.55,711.99,702.8,6.7869,0.9072,1275.65,44.98,2139.56
11/9/2016,720.97,721.0001,716.7001,722.0101,712.415,721.66,721.47,705,6.7915,0.9142,1278,45.27,2163.26
11/10/2016,712.91,709.0411,710.5001,710.1901,723.39,714.64,710.99,707,6.8059,0.9182,1258.93,44.66,2167.48
11/11/2016,716.9,715.4991,715.6001,715.8801,714.865,712.38,715.23,713,6.812,0.9211,1227.85,43.41,2164.45
11/12/2016,704.53,704.6701,704.0401,706.3101,716.89,701.28,700.31,731.2,6.812,0.9211,1227.85,43.41,2164.45
11/13/2016,704.01,703.1301,702.5801,704.0001,703.565,698.01,701.99,681,6.812,0.9211,1227.85,43.41,2164.45
11/14/2016,708.32,707.9991,705.0001,708.7101,707.43,700.18,707.43,710,6.86,0.9303,1221.32,43.32,2164.2
11/15/2016,712.29,711.4001,709.8501,716.0401,712.17,711.78,712.62,715.7,6.859,0.9319,1228.77,45.81,2180.39
11/16/2016,739.85,742.0121,739.8001,738.3001,744.99,735.25,739.99,721,6.8804,0.9349,1225.22,45.57,2176.94
